ObsTime,StnPres,StnPresMax,StnPresMin,T Max,T Min,Precp,RHMin,WS,WD,WSGust,WDGust,RH,Temperature
2010/4/9,1011.4,1013.4,1009.1,21,16.5,0,70,0.6,42,7.1,330,82,18.4
2010/4/10,1010.1,1012.8,1007.8,28,16.3,0,51,0.5,8,6.6,351,77,21.5
2010/4/11,1007.4,1010.5,1004.4,27.3,19.9,0,62,0.1,8,2.4,278,81,23.2
2010/4/12,1007.7,1011.6,1005,31.6,20.5,0,46,1.1,82,11.5,259,72,25.8
2010/4/13,1016.2,1019.4,1011.1,24.2,16.8,5,69,2.8,78,12.1,75,79,20
2010/4/14,1016.2,1019.5,1011.7,24.1,16.1,0,66,2.4,53,10.7,96,78,19.9
2010/4/15,1017.5,1020.7,1014.9,19.4,13.6,8,75,0.7,29,5.5,332,83,16
2010/4/16,1019,1020.5,1018,18.2,13.8,0.5,68,1.9,57,8.8,40,76,16.4
2010/4/17,1017.3,1019.6,1015.6,24.9,17.5,0,59,2.4,62,9.1,39,69,21.7
2010/4/18,1014.5,1016.6,1012.3,24.5,20.3,9.5,74,0.2,1,3.5,300,88,21.8
2010/4/19,1010.4,1012.4,1008.3,31.3,20.7,0,46,0.3,15,5.5,332,74,25.3
2010/4/20,1009.1,1010.5,1007.7,31.3,22.3,0,54,0.4,24,6.6,321,77,25.9
2010/4/21,1008.2,1010.2,1006.1,32.7,22.6,0,43,0.4,237,6,341,72,27.2
2010/4/22,1009.4,1014.4,1006.6,31.8,19.3,0,53,0.9,325,8,336,77,25.5
2010/4/23,1016.2,1019,1011.9,20.9,16.2,10.5,67,1,79,6.6,322,80,17.7
2010/4/24,1017.5,1019.5,1016.1,19.4,16.6,1,50,2,77,8.5,38,62,18.4
2010/4/25,1015.2,1017.1,1013.2,25.9,18.6,0,52,1.6,67,7.4,55,64,22.3
2010/4/26,1013.9,1015.2,1012.2,29.5,19.6,2.5,42,0.8,321,8,346,72,22.8
2010/4/27,1014,1016.7,1012.1,22.6,17.7,10,50,0.9,46,6.8,85,72,20.5
2010/4/28,1011.5,1013.5,1009.5,24.7,17.1,5.5,37,0.2,9,4.1,37,69,21.7
2010/4/29,1014.5,1016.8,1012.4,25.3,20.4,0,57,2.5,63,10.2,90,67,22.8
2010/4/30,1014.1,1016.7,1011.8,30.3,19.5,1,24,1,72,6.8,83,45,24.2
2010/5/1,1012.2,1014.5,1010.7,31.7,20,0,38,1.2,66,7.4,82,54,25.6
2010/5/2,1010.4,1012.2,1008,31.1,22.6,0,49,1.1,41,6.3,92,61,26.5
2010/5/3,1009.4,1011.3,1007.7,32.1,23.3,0,44,1.7,77,8.2,65,61,27.4
2010/5/4,1007.4,1009.3,1005.3,33.2,25,0,40,1,76,6,108,60,27.7
2010/5/5,1006.1,1007.3,1004.5,32.8,24.1,0,43,0.5,324,5.7,346,68,27.5
2010/5/6,1006.2,1007.8,1004.6,28.5,24.8,15,75,0.3,15,3.8,299,86,26.2
2010/5/7,1006.1,1008.4,1003.5,28,21.8,18.5,75,0.7,327,6.3,230,88,24
2010/5/8,1005.3,1007.7,1003.1,26.2,22.1,0,68,1,77,5.7,94,79,24.2
2010/5/9,1003.5,1005.1,1001.9,28.4,21.9,2,74,0.3,16,4.9,306,87,24.8
2010/5/10,1007.1,1010.7,1007.1,22.1,19.1,18,71,1,78,5.2,94,85,21.9
2010/5/11,1010.5,1012.1,1008.3,23.7,19.4,0.5,64,1.5,59,8.2,90,77,22
2010/5/12,1010.8,1012.6,1009.1,25.9,22.4,0,62,2.4,66,8.8,37,69,24
2010/5/13,1008.8,1010.5,1007.4,29.3,23,0,62,0.4,76,5.5,72,75,25.7
2010/5/14,1008.3,1009.9,1007.1,25.1,22.5,0,82,0.7,325,4.6,338,87,23.5
2010/5/15,1007.8,1009.5,1006.6,27.9,22.3,0,70,0.6,332,6.3,333,84,23.9
2010/5/16,1009.1,1011,1007.4,29.7,22.1,0,62,1,265,5.5,308,79,25.5
2010/5/17,1008.7,1010.1,1007.4,31.9,24.6,0,57,1,58,6.6,334,76,27.4
2010/5/18,1007.3,1009.1,1004.9,33.2,25.2,0,55,0.5,349,6.6,335,72,28.8
2010/5/19,1007.4,1009.1,1004.6,34.3,26,0,49,0.9,28,6.8,339,69,29.3
2010/5/20,1008.5,1009.9,1007.2,33,25.9,2,48,0.9,74,7.1,335,74,28.2
2010/5/21,1007.5,1009.6,1004.9,32.4,25.4,0,54,0.7,12,5.7,323,75,28.8
2010/5/22,1002.4,1005.3,999.6,34.7,26.1,0,47,0.7,76,8.5,259,65,30.3
2010/5/23,999.5,1003.8,997.2,30.1,22.5,47.5,69,0.5,25,8.5,258,82,26.2
2010/5/24,1005,1006.8,1002.8,29.2,22.9,0,46,1.5,79,7.1,71,64,25.6
2010/5/25,1006,1007.2,1004.6,34,23.1,0,18,1.3,70,7.7,83,60,27.9
2010/5/26,1007,1008.3,1005.2,33,24.6,0,34,1.7,74,8,79,54,28.6
2010/5/27,1008.3,1009.9,1006.3,28.8,23.5,9,52,1.3,74,8.5,86,68,26.3
2010/5/28,1006.4,1009,1004.5,32.5,25.5,0.5,58,1.2,51,6.3,81,74,28
2010/5/29,1004.8,1006.3,1002.9,27.1,22.8,48,84,0.6,321,5.7,325,91,24.7
2010/5/30,1005.5,1006.9,1004.4,23.7,20.3,17,79,0.7,76,5.7,89,88,22.1
2010/5/31,1006.4,1007.8,1005.1,29.9,21,0,30,1.4,76,8.2,82,65,24.4
2010/6/1,1007.8,1009.5,1006.4,28.4,20.3,0,50,2,76,8.5,84,66,24
2010/6/2,1009.4,1010.8,1007.4,24.3,20.3,9,69,2,77,8.2,54,77,22.5
2010/6/3,1007.8,1009.7,1006.2,25.2,20.3,39,78,1.2,71,6.3,31,88,23
2010/6/4,1006.2,1007.7,1004.9,29,22.1,1,65,1.6,70,6.8,296,80,24.5
2010/6/5,1007.1,1008.6,1005.2,24.6,21.8,3,79,0.4,14,4.9,338,87,22.7
2010/6/6,1007.9,1008.9,1006.1,25.1,21.9,0,75,0.9,43,5.2,41,83,23.4
2010/6/7,1009.1,1010.6,1007.5,29.8,21.7,0,49,1.3,67,7.4,106,71,25.2
2010/6/8,1008.4,1010.4,1006.7,31.5,22.4,0,42,1.4,76,7.4,52,68,26.3
2010/6/9,1007.1,1008.8,1005.7,32.9,24,1.5,51,0.6,70,7.1,313,72,27.2
2010/6/10,1006.5,1008,1005,31,24.8,46,64,0.2,34,5.2,328,84,26.6
2010/6/11,1006.6,1008.4,1004.9,25.9,22.5,11.5,75,0.6,322,5.2,331,89,24.5
2010/6/12,1006.7,1008.2,1005.5,25,21.5,10.5,89,0.2,47,3.3,65,91,23.5
2010/6/13,1006.1,1007.3,1004.5,27.5,23.8,51,82,0.3,40,4.1,63,93,25.1
2010/6/14,1005.1,1006.8,1003,28.3,24.6,20.5,81,0.2,45,3.5,264,89,26.1
2010/6/15,1004.7,1006,1003,28.7,24.5,4.5,76,0.2,69,3.8,233,85,26.5
2010/6/16,1005.5,1006.7,1003.9,32.9,25,0,60,0.1,1,3.5,82,78,28.1
2010/6/17,1005.6,1007.2,1004.4,32.8,25.1,3.5,60,0.4,52,7.1,279,75,29.2
2010/6/18,1005.1,1006.2,1004,33.3,27.2,0,55,1.1,265,10.2,274,68,30.4
2010/6/19,1006,1007.8,1004.9,34.7,26.6,0,54,0.7,265,8.2,239,66,30.7
2010/6/20,1005.4,1006.8,1004,34,27,0,53,0.8,259,7.7,245,68,30.7
2010/6/21,1006.1,1008.4,1004.5,34.2,24.3,34.5,52,0.7,74,7.1,164,73,29.3
2010/6/22,1007.4,1009.1,1005.1,34.7,25.6,12,53,0.9,33,8.2,48,75,28.9
2010/6/23,1006.3,1008.5,1004.6,33.5,26.3,2.5,56,0.5,75,6.8,71,78,28.4
2010/6/24,1002.6,1005.2,1001.1,32.9,25.9,3,53,0.7,15,6.6,298,76,28.8
2010/6/25,1001.4,1003.4,999.6,28.9,26.3,8,75,0.3,79,3.5,274,82,27.7
2010/6/26,1005,1008.2,1001,35,25.7,47,50,0.4,21,6.8,273,77,28.9
2010/6/27,1007.2,1008.3,1005.8,35.4,26,11,49,0.6,31,6.6,317,80,28.9
2010/6/28,1007.2,1008.8,1005.5,34.4,26.7,5.5,55,0.6,73,6.8,2,77,29.7
2010/6/29,1007.7,1008.8,1006.3,33,26.9,20.5,62,0.5,20,5.2,231,79,29.5
2010/6/30,1006.9,1008.6,1005,34.4,27,0,59,0.5,288,4.9,335,75,30.5
2010/7/1,1005.5,1007.7,1004.2,34.2,27.7,0,62,0.9,270,7.4,274,74,30.9
2010/7/2,1003.9,1005.5,1002.4,36.2,28.3,0,53,0.9,253,7.1,274,70,31.9
2010/7/3,1003.6,1005.2,1001.1,38.6,28.4,0,33,1.2,267,9.1,250,58,33.2
2010/7/4,1003.4,1005.3,1001.8,35.6,28.7,0,46,1.9,264,9.9,247,62,32.4
2010/7/5,1001.9,1003.5,999.9,37.1,29.5,0,43,1.6,260,11,244,62,32.9
2010/7/6,1002.5,1004.7,1000.7,37.9,30.1,0,39,1.5,271,11.3,273,57,33.4
2010/7/7,1005.1,1007.4,1003.1,36.1,29.8,0,43,1.4,269,10.2,249,60,32.4
2010/7/8,1005.8,1007.7,1004.4,34.8,29.5,0,49,1,260,7.7,272,64,31.6
2010/7/9,1005.9,1007.1,1004.9,35.2,28.5,0,51,0.8,259,6.8,257,65,31.6
2010/7/10,1007,1008.2,1006,35.6,29.5,0,49,0.9,77,8.5,269,63,32
2010/7/11,1007.2,1008.4,1006,35.2,28.7,0,49,1.3,74,8.5,241,62,31.9
2010/7/12,1007.5,1009,1006.1,33.9,28.4,6.5,59,0.5,333,5.2,26,73,30.5
2010/7/13,1007.9,1009.5,1006.6,33.6,27.9,0,61,0.3,22,5.2,14,72,30.4
2010/7/14,1008.2,1009.4,1007.4,34.6,27.3,2,53,0.7,77,5.2,52,68,30.2
2010/7/15,1007.6,1008.6,1006.7,33.4,26.7,0,54,0.8,67,6.8,336,68,30
2010/7/16,1008.4,1009.9,1006.7,34.3,27,0,53,1.3,78,6.3,331,64,30.5
2010/7/17,1009.5,1010.8,1008.2,33.9,28.3,0,47,1.1,78,7.1,83,61,31.2
2010/7/18,1008.6,1010.7,1005.7,35.7,28,0,46,1.6,69,10.2,55,60,31.7
2010/7/19,1007.1,1008.3,1005.3,34.9,28.1,0,50,1,77,6,81,64,31.5
2010/7/20,1007.8,1009.5,1006.6,35,27.3,21,50,0.7,75,8.8,81,69,30.9
2010/7/21,1008.2,1009.7,1006,36.4,28.4,0,43,1.2,78,8.5,83,63,31.8
2010/7/22,1007.3,1009.1,1005,36.4,29.1,0,43,1.4,79,9.6,75,58,32.1
2010/7/23,1006.3,1008.4,1004.2,35.8,28.5,5.5,49,1,51,7.1,30,65,31.2
2010/7/24,1005.6,1007.1,1003.9,32.8,26.9,25.5,62,0.8,74,6.6,336,77,29.2
2010/7/25,1006.4,1008.2,1005.2,34.1,26.5,14,51,0.7,79,6.6,341,71,29.5
2010/7/26,1005.5,1007.4,1003.5,34.7,26.8,0.5,49,0.6,327,5.5,329,70,29.9
2010/7/27,1005.4,1006.6,1004.1,31.8,26.9,1,59,0.4,8,4.9,281,76,28.4
2010/7/28,1005.1,1007.1,1002.7,32.4,25.9,4,56,0.8,262,7.7,274,71,28.9
2010/7/29,1003.6,1004.9,1001.1,36.5,26.6,0,43,0.8,255,8,283,64,31.3
2010/7/30,1004.9,1006.6,1002.9,35.2,27,5.5,52,0.9,79,7.4,85,71,30.3
2010/7/31,1007.3,1009.3,1005.7,35.1,27.4,0,51,0.9,75,7.4,241,70,30.8
2010/8/1,1009.4,1010.5,1008.2,35.4,28,0,54,0.8,332,5.7,15,71,31.3
2010/8/2,1007.7,1009.9,1005.3,36.9,28.1,0,44,1,42,6.6,256,63,32.4
2010/8/3,1004.3,1006.1,1002.3,37.7,29.1,0,42,1.1,328,5.7,331,66,32
2010/8/4,1002.4,1004.4,999.9,37.4,29.1,0,41,1.5,49,8.5,37,65,32.5
2010/8/5,1003.4,1005.3,1001.1,36.1,30.1,0,46,2.4,79,9.3,68,62,32.1
2010/8/6,1004.1,1006.2,1001.7,33.2,27.7,0.5,54,2.4,80,10.2,69,67,30.9
2010/8/7,1003.1,1005.1,1001.7,33.6,26.9,22,61,2.5,48,10.7,80,78,29.7
2010/8/8,1001,1002.9,999.2,34.2,26.8,5,54,1.5,50,7.4,83,76,30
2010/8/9,1000.7,1003.4,998.9,33.3,27.9,2,60,1.2,327,6.6,335,76,30.1
2010/8/10,1004.4,1006.9,1002.5,37.1,28.7,0,41,0.8,51,7.7,262,63,32.6
2010/8/11,1007.5,1009.3,1005.7,35.3,29.4,0,55,0.8,72,6.3,291,68,32.1
2010/8/12,1008,1009.5,1006.6,35.6,27,2.5,53,0.6,33,7.7,78,73,30.5
2010/8/13,1007,1008.5,1005.7,36.1,27.1,0,47,0.8,265,7.4,252,68,31.5
2010/8/14,1008,1009.3,1006.3,35.8,27.8,0.5,50,0.9,75,7.4,69,71,30.4
2010/8/15,1009.4,1011.1,1007.8,34.6,26.8,3,48,0.6,262,6.3,56,74,29.9
2010/8/16,1009.4,1010.7,1007.8,34.9,25.3,123,50,0.7,70,6.3,339,79,28.8
2010/8/17,1009.2,1010.8,1007.5,34.7,26.4,0,48,0.7,327,6,321,69,30.3
2010/8/18,1010.6,1012.3,1008.5,35.4,27.6,0,50,1,74,8.2,106,65,31.2
2010/8/19,1011.4,1013,1009.6,35.1,28.2,0,47,1.4,76,9.6,88,60,31.5
2010/8/20,1010.6,1012.4,1008.5,34.6,29,0,53,2.8,49,10.4,50,67,31.1
2010/8/21,1007.7,1009.9,1006,35.9,28.9,0,48,2.5,55,9.9,53,67,31.4
2010/8/22,1006.7,1008.2,1005.2,35.8,29.2,0,45,2.3,74,9.1,83,62,31.9
2010/8/23,1007.4,1009,1005.5,35.5,29.6,0,50,1.7,74,7.4,87,65,31.7
2010/8/24,1008.1,1010,1006,35,28.6,0.5,53,1.5,72,9.6,38,65,31.6
2010/8/25,1007.8,1009.1,1005.7,35.9,28.6,2,46,0.8,66,5.7,306,65,31.5
2010/8/26,1007,1008,1005.2,33.8,28.1,1,50,0.9,68,6.3,299,66,30.7
2010/8/27,1005.1,1007.5,1002.7,35.9,26.9,0,42,1.6,49,8.2,84,62,30.9
2010/8/28,1005.1,1006.9,1003.4,35.8,27.8,0,46,1.2,71,8.8,91,63,31.2
2010/8/29,1005.6,1007.3,1003.9,33.8,26.3,31,56,0.6,208,5.7,46,73,29.6
2010/8/30,1001.8,1004.5,998.6,30.2,24.7,106.5,72,1.5,259,8.2,239,85,26.8
2010/8/31,999.1,1000.7,996.9,27.1,24.6,14,82,0.2,2,6.8,196,89,26
2010/9/1,999.8,1003,996.9,33.6,25.7,0,56,0.5,77,8,79,76,29.1
2010/9/2,1004.7,1007.9,1001.7,35.6,27.1,0,48,0.9,70,6.8,89,72,30.1
2010/9/3,1005.6,1007.4,1003.5,35.4,26.6,0,44,1.7,76,9.6,86,62,31
2010/9/4,1005.4,1006.8,1003.1,35.2,28.5,0,40,1.5,71,7.4,32,65,30.9
2010/9/5,1005.4,1007.2,1003.4,33.1,27.3,2,59,0.8,45,5.5,332,74,29.8
2010/9/6,1005.7,1007.3,1004,34.3,27.8,0,53,0.8,14,5.7,341,71,30.6
2010/9/7,1005.3,1006.7,1003.5,34.6,28,0,49,1.4,58,8.5,84,71,30.5
2010/9/8,1003.3,1006.6,1001.6,35.5,28.9,0,45,2.9,78,11.3,86,60,31.6
2010/9/9,1004.2,1006,1002.3,31.9,27.3,1,55,1.8,77,9.1,87,65,29.4
2010/9/10,1005.4,1008.5,1002.7,35,26.1,0.5,47,0.8,72,5.7,80,73,29.6
2010/9/11,1009.5,1011.8,1007.7,33.8,26.5,15,57,0.5,73,4.6,1,78,29.2
2010/9/12,1010.8,1012.2,1009.3,32.8,26.5,0.5,54,0.9,327,6.3,290,72,29.1
2010/9/13,1009.9,1011.7,1008,34.3,26.1,0,49,1.3,77,6.8,62,67,30.1
2010/9/14,1010,1010.6,1008.5,34.7,27.1,4.5,54,0.6,70,5.7,64,72,29.4
2010/9/15,1009.3,1011.2,1007.2,34.4,26.2,0,49,0.7,76,5.7,334,72,29.7
2010/9/16,1007.9,1010,1005.8,33.8,27,0,52,1.2,77,6.8,89,69,29.9
2010/9/17,1006.9,1008.8,1005.6,33.3,27.4,0,48,1.1,79,6.8,340,65,29.7
2010/9/18,1004.3,1006.8,999.9,32.2,26,12.5,60,1.1,19,9.1,44,76,28.4
2010/9/19,994.1,1000.1,990.5,30.4,25.9,60,54,4.2,76,18.2,87,72,29
2010/9/20,1004.1,1010.5,993.3,34,26.8,12,52,0.9,79,15.4,73,71,29.4
2010/9/21,1010.9,1013.7,1009,34.8,25.8,0,45,0.6,348,6,353,65,30.1
2010/9/22,1010.4,1012.2,1007.7,36.6,26.7,0,41,1.1,72,7.1,322,63,30.6
2010/9/23,1010.1,1011.2,1008.5,32.6,26.3,0,55,1.9,77,9.6,83,72,28.7
2010/9/24,1010.6,1011.9,1009.3,27.9,25.3,0,69,1.3,77,6,70,78,26.5
2010/9/25,1011.1,1012.3,1009.5,32.4,25.1,0,49,1.5,68,8,103,69,28
2010/9/26,1011.4,1013.3,1009.6,35.1,26.7,0,45,1,72,6.6,326,66,29.8
2010/9/27,1011.3,1012.6,1009.9,32.9,26,0,55,1.1,65,7.1,101,70,29.2
2010/9/28,1011.6,1013.4,1009.7,33.9,26.1,0,42,2.9,54,10.7,55,65,29.3
2010/9/29,1012.1,1013.5,1010.1,32.9,25.6,0.5,55,2.5,65,9.6,89,73,28.5
2010/9/30,1012.3,1013.7,1010.8,31.5,25.3,14,62,2.6,49,10.7,69,80,27.6
2010/10/1,1011,1012.8,1009.1,31.5,24.9,3,61,2.2,55,11,91,75,28.2
