ObsTime,StnPres,StnPresMax,StnPresMin,T Max,T Min,Temperature,RHMin,WS,WD,WSGust,WDGust,RH,Precp
2010/1/25,1021,1025.5,1016,18.1,14.1,16.2,71,0.9,70,8.2,71,86,19.5
2010/1/26,1022.4,1025.9,1019.2,18.5,14.5,16.5,62,3.4,69,12.1,71,68,0
2010/1/27,1016.5,1019.4,1014.5,24.1,16,20.2,50,0.8,45,7.1,54,73,0
2010/1/28,1015.7,1017.7,1014.3,22.5,18.3,19.8,71,0.4,59,5.5,347,84,1.5
2010/1/29,1017.4,1020.6,1015.5,22.4,17.6,19.9,60,2.1,68,9.3,63,74,0
2010/1/30,1015.4,1017.8,1013.6,26.4,17.3,19.9,54,1.1,162,7.7,316,79,0
2010/1/31,1013.5,1015.3,1011.5,26.9,17.6,21.6,47,0.8,247,6.3,251,75,0
2010/2/1,1013.6,1016.1,1011.4,20.8,16.6,19,72,1.3,142,8.5,64,83,0
2010/2/2,1014.2,1015.8,1011.7,22,16.3,18.3,67,1.8,68,10.2,66,81,0
2010/2/3,1015.8,1018,1014.3,19.7,15.6,17.7,75,0.9,295,6,156,84,0.5
2010/2/4,1015.9,1018,1013.6,21.7,16.3,17.9,71,1,318,6.6,322,86,1
2010/2/5,1016.1,1017.7,1013.9,21.4,16.4,18,72,0.9,290,6,298,87,0
2010/2/6,1015.9,1017.6,1013.9,20.1,16.9,18.4,82,0.6,256,4.1,234,90,7
2010/2/7,1015.9,1018.1,1013.7,18.4,15.9,17.2,87,0.9,311,9.1,327,91,9
2010/2/8,1014.2,1016.9,1012.6,27.5,16.6,20.4,57,0.7,345,6.6,354,81,0
2010/2/9,1013.4,1016.5,1011.1,27,17.8,21.5,57,0.4,57,6.6,304,81,0
2010/2/10,1011.8,1014.2,1009.2,29.9,18.9,23.4,45,0.7,157,6,14,79,0
2010/2/11,1013.1,1018.3,1010.9,29.6,17,24,52,1.2,6,8.5,281,71,0
2010/2/12,1021.4,1023.3,1017.7,17.3,11.6,13.6,68,2.3,69,9.9,69,74,0
2010/2/13,1019.6,1022.7,1014.4,17,12.4,13.9,75,1.8,70,9.3,107,84,15.5
2010/2/14,1013.5,1015,1011.5,22,15.4,17.2,68,0.8,292,7.1,335,86,0
2010/2/15,1017.4,1020.5,1014.8,17.5,12.9,14.6,71,0.8,352,7.1,336,87,14
2010/2/16,1020.8,1023.3,1018.8,13.5,11.4,12.5,78,1,18,7.4,49,86,40
2010/2/17,1019.8,1022,1017.6,13.3,11.3,12.4,87,0.6,1,5.7,26,90,48
2010/2/18,1021.6,1023.6,1020.3,12.8,9.9,11.2,70,0.8,73,6.8,49,86,29.5
2010/2/19,1019.6,1021.7,1016.6,12.3,9.8,11,86,0.6,73,6,72,91,22.5
2010/2/20,1017.1,1019.4,1015.3,16.9,10.7,14.5,68,1,65,7.7,64,82,0.5
2010/2/21,1014.9,1016.1,1013.8,20.8,12.8,16.2,63,0.6,46,6.8,287,83,0
2010/2/22,1013.6,1015.5,1011.6,19.3,14.6,16.7,76,0.5,9,5.2,342,85,0
2010/2/23,1012,1014.2,1009.8,26.3,13.8,19.2,38,0.5,92,4.9,69,74,0
2010/2/24,1010,1012,1007.8,27.7,16.1,21.4,42,0.6,58,5.5,338,69,0
2010/2/25,1008.2,1010.1,1006.4,28.6,19.5,23.4,46,0.4,13,3.8,144,70,0
2010/2/26,1007.7,1010.1,1005.7,31.1,19.6,24.6,50,1.1,257,10.4,291,73,0
2010/2/27,1010.5,1014,1007.7,24.4,18.2,22,81,0.8,3,5.5,335,86,0
2010/2/28,1013.6,1015.9,1011.7,28.1,20.4,23.7,59,1.5,63,9.1,56,75,0
2010/3/1,1011.3,1013.8,1009,28.8,21.5,25,60,0.7,77,4.6,139,75,0
2010/3/2,1011.6,1013.8,1009.3,23.8,17.4,21.5,69,0.9,76,9.6,342,84,1.5
2010/3/4,1010.7,1011.9,1009.4,24.6,22.7,23.8,79,0.4,38,3.5,360,82,1
2010/3/5,1009.9,1012,1007.8,28,21.2,23.9,59,0.6,82,6.8,343,78,0
2010/3/6,1012.1,1015,1009.9,28,17.5,22.6,62,0.9,10,6.3,66,80,0
2010/3/7,1016.9,1018.6,1014.5,17.9,13.4,15.1,71,1.8,68,9.1,74,78,0
2010/3/8,1015.8,1018.3,1013,18.2,14.6,16.3,77,0.7,79,6,80,84,2.5
2010/3/9,1021.6,1025.8,1015.5,15.4,9.6,11.7,58,1.5,9,9.1,20,79,19
2010/3/10,1025.6,1027.8,1023.9,11.1,8.3,9.1,43,2.1,28,8.2,44,54,0
2010/3/11,1020.7,1024.1,1017.7,22.4,9,16.1,33,0.8,72,6,87,53,0
2010/3/12,1017.5,1020.5,1014.4,26.9,13,20.2,36,0.4,78,4.6,86,59,0
2010/3/13,1014.9,1018,1012.3,21.9,18.3,19.4,68,0.3,27,5.5,267,84,28
2010/3/14,1012.3,1014,1009.7,29.3,19.9,24,57,0.4,6,5.7,327,76,0
2010/3/15,1012.7,1017.6,1010.4,30.1,17.5,23.1,55,0.6,79,9.1,80,82,0
2010/3/16,1020.5,1021.4,1019.4,16.6,14.5,15.6,64,2.9,52,11,116,72,0.5
2010/3/17,1019,1020.5,1017.5,20.7,15.6,17.8,68,1.2,314,9.6,92,78,0
2010/3/18,1017.1,1019.5,1014.8,26.6,16.4,20.5,40,1.1,79,8,80,70,0
2010/3/19,1012.6,1015.6,1010.5,28.1,16.1,22.6,41,0.4,324,5.7,35,68,0
2010/3/20,1009.9,1012.3,1007.8,29.2,20,24.1,53,0.5,271,7.1,266,76,0
2010/3/21,1012.8,1015.3,1011.1,24.4,19.9,21.3,52,2.8,75,12.6,98,66,0
2010/3/22,1010.4,1012.8,1008.9,29.8,20.4,24.2,47,0.7,9,6.6,318,70,0
2010/3/23,1008,1010.3,1004.8,31,20.4,25.2,45,0.4,11,5.7,311,70,0
2010/3/24,1008.5,1010.4,1005.6,26.6,18.1,21.7,64,1.3,77,9.3,71,81,0
2010/3/25,1017.1,1021,1009.9,18.4,12.4,14.2,47,1.7,351,9.6,349,73,1
2010/3/26,1020.1,1022.6,1018.3,16.1,14.1,15.2,40,3,54,11,16,52,0
2010/3/27,1017.8,1020.5,1015.5,22.8,14.7,18.7,46,1.6,49,9.6,82,62,0
2010/3/29,1017.5,1020.8,1016,24.5,15.6,21.4,29,2.8,76,11.3,68,54,0
2010/3/30,1015.8,1018.1,1013.1,27.3,19.6,23,39,1.4,74,9.1,82,55,0
2010/3/31,1013.9,1015.8,1011.7,28.2,18.8,23.1,38,0.7,326,6.6,307,62,0
2010/4/1,1010.6,1013,1007.9,29.5,19.2,24.3,43,0.6,29,6.3,325,69,0
2010/4/2,1015.7,1018.7,1011.7,24.4,14.8,17.9,69,1.8,64,8.5,92,80,4.5
2010/4/3,1016.3,1018.7,1014.3,20.6,16.2,18.4,82,1.8,76,9.1,91,87,1
2010/4/4,1012.6,1014.4,1010.8,22.5,17.8,19.2,80,0.7,323,6.6,337,89,0
2010/4/5,1010.9,1012.7,1009.6,23.9,17.9,20.9,70,0.9,79,6.8,96,82,4
2010/4/6,1010.8,1014.9,1008.6,22.8,17.8,21.2,80,0.2,61,6.8,265,88,12
2010/4/7,1018,1020,1014.6,18.3,15.9,17.2,61,2,59,9.1,70,74,1
2010/4/8,1013.1,1018.3,1009.1,20.9,15.7,18.1,68,1.4,76,8.2,75,84,23
2010/4/9,1011.4,1013.4,1009.1,21,16.5,18.4,70,0.6,42,7.1,330,82,0
2010/4/10,1010.1,1012.8,1007.8,28,16.3,21.5,51,0.5,8,6.6,351,77,0
2010/4/11,1007.4,1010.5,1004.4,27.3,19.9,23.2,62,0.1,8,2.4,278,81,0
2010/4/12,1007.7,1011.6,1005,31.6,20.5,25.8,46,1.1,82,11.5,259,72,0
2010/4/13,1016.2,1019.4,1011.1,24.2,16.8,20,69,2.8,78,12.1,75,79,5
2010/4/14,1016.2,1019.5,1011.7,24.1,16.1,19.9,66,2.4,53,10.7,96,78,0
2010/4/15,1017.5,1020.7,1014.9,19.4,13.6,16,75,0.7,29,5.5,332,83,8
2010/4/16,1019,1020.5,1018,18.2,13.8,16.4,68,1.9,57,8.8,40,76,0.5
2010/4/17,1017.3,1019.6,1015.6,24.9,17.5,21.7,59,2.4,62,9.1,39,69,0
2010/4/18,1014.5,1016.6,1012.3,24.5,20.3,21.8,74,0.2,1,3.5,300,88,9.5
2010/4/19,1010.4,1012.4,1008.3,31.3,20.7,25.3,46,0.3,15,5.5,332,74,0
2010/4/20,1009.1,1010.5,1007.7,31.3,22.3,25.9,54,0.4,24,6.6,321,77,0
2010/4/21,1008.2,1010.2,1006.1,32.7,22.6,27.2,43,0.4,237,6,341,72,0
2010/4/22,1009.4,1014.4,1006.6,31.8,19.3,25.5,53,0.9,325,8,336,77,0
2010/4/23,1016.2,1019,1011.9,20.9,16.2,17.7,67,1,79,6.6,322,80,10.5
2010/4/24,1017.5,1019.5,1016.1,19.4,16.6,18.4,50,2,77,8.5,38,62,1
2010/4/25,1015.2,1017.1,1013.2,25.9,18.6,22.3,52,1.6,67,7.4,55,64,0
2010/4/26,1013.9,1015.2,1012.2,29.5,19.6,22.8,42,0.8,321,8,346,72,2.5
2010/4/27,1014,1016.7,1012.1,22.6,17.7,20.5,50,0.9,46,6.8,85,72,10
2010/4/28,1011.5,1013.5,1009.5,24.7,17.1,21.7,37,0.2,9,4.1,37,69,5.5
2010/4/29,1014.5,1016.8,1012.4,25.3,20.4,22.8,57,2.5,63,10.2,90,67,0
2010/4/30,1014.1,1016.7,1011.8,30.3,19.5,24.2,24,1,72,6.8,83,45,1
2010/5/1,1012.2,1014.5,1010.7,31.7,20,25.6,38,1.2,66,7.4,82,54,0
2010/5/2,1010.4,1012.2,1008,31.1,22.6,26.5,49,1.1,41,6.3,92,61,0
2010/5/3,1009.4,1011.3,1007.7,32.1,23.3,27.4,44,1.7,77,8.2,65,61,0
2010/5/4,1007.4,1009.3,1005.3,33.2,25,27.7,40,1,76,6,108,60,0
2010/5/5,1006.1,1007.3,1004.5,32.8,24.1,27.5,43,0.5,324,5.7,346,68,0
2010/5/6,1006.2,1007.8,1004.6,28.5,24.8,26.2,75,0.3,15,3.8,299,86,15
2010/5/7,1006.1,1008.4,1003.5,28,21.8,24,75,0.7,327,6.3,230,88,18.5
2010/5/8,1005.3,1007.7,1003.1,26.2,22.1,24.2,68,1,77,5.7,94,79,0
2010/5/9,1003.5,1005.1,1001.9,28.4,21.9,24.8,74,0.3,16,4.9,306,87,2
2010/5/10,1007.1,1010.7,1007.1,22.1,19.1,21.9,71,1,78,5.2,94,85,18
2010/5/11,1010.5,1012.1,1008.3,23.7,19.4,22,64,1.5,59,8.2,90,77,0.5
2010/5/12,1010.8,1012.6,1009.1,25.9,22.4,24,62,2.4,66,8.8,37,69,0
2010/5/13,1008.8,1010.5,1007.4,29.3,23,25.7,62,0.4,76,5.5,72,75,0
2010/5/14,1008.3,1009.9,1007.1,25.1,22.5,23.5,82,0.7,325,4.6,338,87,0
2010/5/15,1007.8,1009.5,1006.6,27.9,22.3,23.9,70,0.6,332,6.3,333,84,0
2010/5/16,1009.1,1011,1007.4,29.7,22.1,25.5,62,1,265,5.5,308,79,0
2010/5/17,1008.7,1010.1,1007.4,31.9,24.6,27.4,57,1,58,6.6,334,76,0
2010/5/18,1007.3,1009.1,1004.9,33.2,25.2,28.8,55,0.5,349,6.6,335,72,0
2010/5/19,1007.4,1009.1,1004.6,34.3,26,29.3,49,0.9,28,6.8,339,69,0
2010/5/20,1008.5,1009.9,1007.2,33,25.9,28.2,48,0.9,74,7.1,335,74,2
2010/5/21,1007.5,1009.6,1004.9,32.4,25.4,28.8,54,0.7,12,5.7,323,75,0
2010/5/22,1002.4,1005.3,999.6,34.7,26.1,30.3,47,0.7,76,8.5,259,65,0
2010/5/23,999.5,1003.8,997.2,30.1,22.5,26.2,69,0.5,25,8.5,258,82,47.5
2010/5/24,1005,1006.8,1002.8,29.2,22.9,25.6,46,1.5,79,7.1,71,64,0
2010/5/25,1006,1007.2,1004.6,34,23.1,27.9,18,1.3,70,7.7,83,60,0
2010/5/26,1007,1008.3,1005.2,33,24.6,28.6,34,1.7,74,8,79,54,0
2010/5/27,1008.3,1009.9,1006.3,28.8,23.5,26.3,52,1.3,74,8.5,86,68,9
2010/5/28,1006.4,1009,1004.5,32.5,25.5,28,58,1.2,51,6.3,81,74,0.5
2010/5/29,1004.8,1006.3,1002.9,27.1,22.8,24.7,84,0.6,321,5.7,325,91,48
2010/5/30,1005.5,1006.9,1004.4,23.7,20.3,22.1,79,0.7,76,5.7,89,88,17
2010/5/31,1006.4,1007.8,1005.1,29.9,21,24.4,30,1.4,76,8.2,82,65,0
2010/6/1,1007.8,1009.5,1006.4,28.4,20.3,24,50,2,76,8.5,84,66,0
2010/6/2,1009.4,1010.8,1007.4,24.3,20.3,22.5,69,2,77,8.2,54,77,9
2010/6/3,1007.8,1009.7,1006.2,25.2,20.3,23,78,1.2,71,6.3,31,88,39
2010/6/4,1006.2,1007.7,1004.9,29,22.1,24.5,65,1.6,70,6.8,296,80,1
2010/6/5,1007.1,1008.6,1005.2,24.6,21.8,22.7,79,0.4,14,4.9,338,87,3
2010/6/6,1007.9,1008.9,1006.1,25.1,21.9,23.4,75,0.9,43,5.2,41,83,0
2010/6/7,1009.1,1010.6,1007.5,29.8,21.7,25.2,49,1.3,67,7.4,106,71,0
2010/6/8,1008.4,1010.4,1006.7,31.5,22.4,26.3,42,1.4,76,7.4,52,68,0
2010/6/9,1007.1,1008.8,1005.7,32.9,24,27.2,51,0.6,70,7.1,313,72,1.5
2010/6/10,1006.5,1008,1005,31,24.8,26.6,64,0.2,34,5.2,328,84,46
2010/6/11,1006.6,1008.4,1004.9,25.9,22.5,24.5,75,0.6,322,5.2,331,89,11.5
2010/6/12,1006.7,1008.2,1005.5,25,21.5,23.5,89,0.2,47,3.3,65,91,10.5
2010/6/13,1006.1,1007.3,1004.5,27.5,23.8,25.1,82,0.3,40,4.1,63,93,51
2010/6/14,1005.1,1006.8,1003,28.3,24.6,26.1,81,0.2,45,3.5,264,89,20.5
2010/6/15,1004.7,1006,1003,28.7,24.5,26.5,76,0.2,69,3.8,233,85,4.5
2010/6/16,1005.5,1006.7,1003.9,32.9,25,28.1,60,0.1,1,3.5,82,78,0
2010/6/17,1005.6,1007.2,1004.4,32.8,25.1,29.2,60,0.4,52,7.1,279,75,3.5
2010/6/18,1005.1,1006.2,1004,33.3,27.2,30.4,55,1.1,265,10.2,274,68,0
2010/6/19,1006,1007.8,1004.9,34.7,26.6,30.7,54,0.7,265,8.2,239,66,0
2010/6/20,1005.4,1006.8,1004,34,27,30.7,53,0.8,259,7.7,245,68,0
2010/6/21,1006.1,1008.4,1004.5,34.2,24.3,29.3,52,0.7,74,7.1,164,73,34.5
2010/6/22,1007.4,1009.1,1005.1,34.7,25.6,28.9,53,0.9,33,8.2,48,75,12
2010/6/23,1006.3,1008.5,1004.6,33.5,26.3,28.4,56,0.5,75,6.8,71,78,2.5
2010/6/24,1002.6,1005.2,1001.1,32.9,25.9,28.8,53,0.7,15,6.6,298,76,3
2010/6/25,1001.4,1003.4,999.6,28.9,26.3,27.7,75,0.3,79,3.5,274,82,8
2010/6/26,1005,1008.2,1001,35,25.7,28.9,50,0.4,21,6.8,273,77,47
2010/6/27,1007.2,1008.3,1005.8,35.4,26,28.9,49,0.6,31,6.6,317,80,11
2010/6/28,1007.2,1008.8,1005.5,34.4,26.7,29.7,55,0.6,73,6.8,2,77,5.5
2010/6/29,1007.7,1008.8,1006.3,33,26.9,29.5,62,0.5,20,5.2,231,79,20.5
2010/6/30,1006.9,1008.6,1005,34.4,27,30.5,59,0.5,288,4.9,335,75,0
2010/7/1,1005.5,1007.7,1004.2,34.2,27.7,30.9,62,0.9,270,7.4,274,74,0
2010/7/2,1003.9,1005.5,1002.4,36.2,28.3,31.9,53,0.9,253,7.1,274,70,0
2010/7/3,1003.6,1005.2,1001.1,38.6,28.4,33.2,33,1.2,267,9.1,250,58,0
2010/7/4,1003.4,1005.3,1001.8,35.6,28.7,32.4,46,1.9,264,9.9,247,62,0
2010/7/5,1001.9,1003.5,999.9,37.1,29.5,32.9,43,1.6,260,11,244,62,0
2010/7/6,1002.5,1004.7,1000.7,37.9,30.1,33.4,39,1.5,271,11.3,273,57,0
2010/7/7,1005.1,1007.4,1003.1,36.1,29.8,32.4,43,1.4,269,10.2,249,60,0
2010/7/8,1005.8,1007.7,1004.4,34.8,29.5,31.6,49,1,260,7.7,272,64,0
2010/7/9,1005.9,1007.1,1004.9,35.2,28.5,31.6,51,0.8,259,6.8,257,65,0
2010/7/10,1007,1008.2,1006,35.6,29.5,32,49,0.9,77,8.5,269,63,0
2010/7/11,1007.2,1008.4,1006,35.2,28.7,31.9,49,1.3,74,8.5,241,62,0
2010/7/12,1007.5,1009,1006.1,33.9,28.4,30.5,59,0.5,333,5.2,26,73,6.5
2010/7/13,1007.9,1009.5,1006.6,33.6,27.9,30.4,61,0.3,22,5.2,14,72,0
2010/7/14,1008.2,1009.4,1007.4,34.6,27.3,30.2,53,0.7,77,5.2,52,68,2
2010/7/15,1007.6,1008.6,1006.7,33.4,26.7,30,54,0.8,67,6.8,336,68,0
2010/7/16,1008.4,1009.9,1006.7,34.3,27,30.5,53,1.3,78,6.3,331,64,0
2010/7/17,1009.5,1010.8,1008.2,33.9,28.3,31.2,47,1.1,78,7.1,83,61,0
2010/7/18,1008.6,1010.7,1005.7,35.7,28,31.7,46,1.6,69,10.2,55,60,0
2010/7/19,1007.1,1008.3,1005.3,34.9,28.1,31.5,50,1,77,6,81,64,0
2010/7/20,1007.8,1009.5,1006.6,35,27.3,30.9,50,0.7,75,8.8,81,69,21
2010/7/21,1008.2,1009.7,1006,36.4,28.4,31.8,43,1.2,78,8.5,83,63,0
2010/7/22,1007.3,1009.1,1005,36.4,29.1,32.1,43,1.4,79,9.6,75,58,0
2010/7/23,1006.3,1008.4,1004.2,35.8,28.5,31.2,49,1,51,7.1,30,65,5.5
2010/7/24,1005.6,1007.1,1003.9,32.8,26.9,29.2,62,0.8,74,6.6,336,77,25.5
2010/7/25,1006.4,1008.2,1005.2,34.1,26.5,29.5,51,0.7,79,6.6,341,71,14
2010/7/26,1005.5,1007.4,1003.5,34.7,26.8,29.9,49,0.6,327,5.5,329,70,0.5
2010/7/27,1005.4,1006.6,1004.1,31.8,26.9,28.4,59,0.4,8,4.9,281,76,1
2010/7/28,1005.1,1007.1,1002.7,32.4,25.9,28.9,56,0.8,262,7.7,274,71,4
2010/7/29,1003.6,1004.9,1001.1,36.5,26.6,31.3,43,0.8,255,8,283,64,0
2010/7/30,1004.9,1006.6,1002.9,35.2,27,30.3,52,0.9,79,7.4,85,71,5.5
2010/7/31,1007.3,1009.3,1005.7,35.1,27.4,30.8,51,0.9,75,7.4,241,70,0
2010/8/1,1009.4,1010.5,1008.2,35.4,28,31.3,54,0.8,332,5.7,15,71,0
2010/8/2,1007.7,1009.9,1005.3,36.9,28.1,32.4,44,1,42,6.6,256,63,0
2010/8/3,1004.3,1006.1,1002.3,37.7,29.1,32,42,1.1,328,5.7,331,66,0
2010/8/4,1002.4,1004.4,999.9,37.4,29.1,32.5,41,1.5,49,8.5,37,65,0
2010/8/5,1003.4,1005.3,1001.1,36.1,30.1,32.1,46,2.4,79,9.3,68,62,0
2010/8/6,1004.1,1006.2,1001.7,33.2,27.7,30.9,54,2.4,80,10.2,69,67,0.5
2010/8/7,1003.1,1005.1,1001.7,33.6,26.9,29.7,61,2.5,48,10.7,80,78,22
2010/8/8,1001,1002.9,999.2,34.2,26.8,30,54,1.5,50,7.4,83,76,5
2010/8/9,1000.7,1003.4,998.9,33.3,27.9,30.1,60,1.2,327,6.6,335,76,2
2010/8/10,1004.4,1006.9,1002.5,37.1,28.7,32.6,41,0.8,51,7.7,262,63,0
2010/8/11,1007.5,1009.3,1005.7,35.3,29.4,32.1,55,0.8,72,6.3,291,68,0
2010/8/12,1008,1009.5,1006.6,35.6,27,30.5,53,0.6,33,7.7,78,73,2.5
2010/8/13,1007,1008.5,1005.7,36.1,27.1,31.5,47,0.8,265,7.4,252,68,0
2010/8/14,1008,1009.3,1006.3,35.8,27.8,30.4,50,0.9,75,7.4,69,71,0.5
2010/8/15,1009.4,1011.1,1007.8,34.6,26.8,29.9,48,0.6,262,6.3,56,74,3
2010/8/16,1009.4,1010.7,1007.8,34.9,25.3,28.8,50,0.7,70,6.3,339,79,123
2010/8/17,1009.2,1010.8,1007.5,34.7,26.4,30.3,48,0.7,327,6,321,69,0
2010/8/18,1010.6,1012.3,1008.5,35.4,27.6,31.2,50,1,74,8.2,106,65,0
2010/8/19,1011.4,1013,1009.6,35.1,28.2,31.5,47,1.4,76,9.6,88,60,0
2010/8/20,1010.6,1012.4,1008.5,34.6,29,31.1,53,2.8,49,10.4,50,67,0
2010/8/21,1007.7,1009.9,1006,35.9,28.9,31.4,48,2.5,55,9.9,53,67,0
2010/8/22,1006.7,1008.2,1005.2,35.8,29.2,31.9,45,2.3,74,9.1,83,62,0
2010/8/23,1007.4,1009,1005.5,35.5,29.6,31.7,50,1.7,74,7.4,87,65,0
2010/8/24,1008.1,1010,1006,35,28.6,31.6,53,1.5,72,9.6,38,65,0.5
2010/8/25,1007.8,1009.1,1005.7,35.9,28.6,31.5,46,0.8,66,5.7,306,65,2
2010/8/26,1007,1008,1005.2,33.8,28.1,30.7,50,0.9,68,6.3,299,66,1
2010/8/27,1005.1,1007.5,1002.7,35.9,26.9,30.9,42,1.6,49,8.2,84,62,0
2010/8/28,1005.1,1006.9,1003.4,35.8,27.8,31.2,46,1.2,71,8.8,91,63,0
2010/8/29,1005.6,1007.3,1003.9,33.8,26.3,29.6,56,0.6,208,5.7,46,73,31
2010/8/30,1001.8,1004.5,998.6,30.2,24.7,26.8,72,1.5,259,8.2,239,85,106.5
2010/8/31,999.1,1000.7,996.9,27.1,24.6,26,82,0.2,2,6.8,196,89,14
2010/9/1,999.8,1003,996.9,33.6,25.7,29.1,56,0.5,77,8,79,76,0
2010/9/2,1004.7,1007.9,1001.7,35.6,27.1,30.1,48,0.9,70,6.8,89,72,0
2010/9/3,1005.6,1007.4,1003.5,35.4,26.6,31,44,1.7,76,9.6,86,62,0
2010/9/4,1005.4,1006.8,1003.1,35.2,28.5,30.9,40,1.5,71,7.4,32,65,0
2010/9/5,1005.4,1007.2,1003.4,33.1,27.3,29.8,59,0.8,45,5.5,332,74,2
2010/9/6,1005.7,1007.3,1004,34.3,27.8,30.6,53,0.8,14,5.7,341,71,0
2010/9/7,1005.3,1006.7,1003.5,34.6,28,30.5,49,1.4,58,8.5,84,71,0
2010/9/8,1003.3,1006.6,1001.6,35.5,28.9,31.6,45,2.9,78,11.3,86,60,0
2010/9/9,1004.2,1006,1002.3,31.9,27.3,29.4,55,1.8,77,9.1,87,65,1
2010/9/10,1005.4,1008.5,1002.7,35,26.1,29.6,47,0.8,72,5.7,80,73,0.5
2010/9/11,1009.5,1011.8,1007.7,33.8,26.5,29.2,57,0.5,73,4.6,1,78,15
2010/9/12,1010.8,1012.2,1009.3,32.8,26.5,29.1,54,0.9,327,6.3,290,72,0.5
2010/9/13,1009.9,1011.7,1008,34.3,26.1,30.1,49,1.3,77,6.8,62,67,0
2010/9/14,1010,1010.6,1008.5,34.7,27.1,29.4,54,0.6,70,5.7,64,72,4.5
2010/9/15,1009.3,1011.2,1007.2,34.4,26.2,29.7,49,0.7,76,5.7,334,72,0
2010/9/16,1007.9,1010,1005.8,33.8,27,29.9,52,1.2,77,6.8,89,69,0
2010/9/17,1006.9,1008.8,1005.6,33.3,27.4,29.7,48,1.1,79,6.8,340,65,0
2010/9/18,1004.3,1006.8,999.9,32.2,26,28.4,60,1.1,19,9.1,44,76,12.5
2010/9/19,994.1,1000.1,990.5,30.4,25.9,29,54,4.2,76,18.2,87,72,60
2010/9/20,1004.1,1010.5,993.3,34,26.8,29.4,52,0.9,79,15.4,73,71,12
2010/9/21,1010.9,1013.7,1009,34.8,25.8,30.1,45,0.6,348,6,353,65,0
2010/9/22,1010.4,1012.2,1007.7,36.6,26.7,30.6,41,1.1,72,7.1,322,63,0
2010/9/23,1010.1,1011.2,1008.5,32.6,26.3,28.7,55,1.9,77,9.6,83,72,0
2010/9/24,1010.6,1011.9,1009.3,27.9,25.3,26.5,69,1.3,77,6,70,78,0
2010/9/25,1011.1,1012.3,1009.5,32.4,25.1,28,49,1.5,68,8,103,69,0
2010/9/26,1011.4,1013.3,1009.6,35.1,26.7,29.8,45,1,72,6.6,326,66,0
2010/9/27,1011.3,1012.6,1009.9,32.9,26,29.2,55,1.1,65,7.1,101,70,0
2010/9/28,1011.6,1013.4,1009.7,33.9,26.1,29.3,42,2.9,54,10.7,55,65,0
2010/9/29,1012.1,1013.5,1010.1,32.9,25.6,28.5,55,2.5,65,9.6,89,73,0.5
2010/9/30,1012.3,1013.7,1010.8,31.5,25.3,27.6,62,2.6,49,10.7,69,80,14
2010/10/1,1011,1012.8,1009.1,31.5,24.9,28.2,61,2.2,55,11,91,75,3
